20 20
6 6 6 1 1 1 6 1 1 0 0 0 0 1 1 1 1 0 1 6
6 6 6 1 0 1 1 1 1 0 0 0 6 0 0 0 0 1 1 6
6 6 0 1 1 6 0 0 0 0 0 0 6 6 0 0 1 1 6 6
6 0 1 1 1 6 6 0 0 0 0 0 6 6 1 1 1 6 6 6
6 1 1 0 1 1 6 0 0 0 0 0 0 0 1 6 6 6 6 6
6 1 1 1 1 1 1 0 0 0 1 1 1 6 1 6 6 6 6 6
6 1 1 1 1 1 1 0 0 0 1 1 1 6 1 1 1 1 1 1
1 1 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1 1 1
1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 6 1
6 0 6 0 1 1 1 0 0 1 1 1 0 0 6 6 1 1 6 6
6 0 6 6 0 0 1 1 6 6 1 1 0 0 6 6 0 1 1 6
6 0 0 6 0 0 0 1 6 6 6 6 0 0 1 1 6 0 1 6
6 6 0 0 0 0 1 1 0 6 6 6 6 1 1 1 6 0 1 6
6 6 0 1 1 1 1 0 0 0 6 6 6 1 1 1 1 1 1 6
6 6 6 1 0 0 0 0 0 0 0 0 6 0 1 1 1 6 6 6
6 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 0 6 6 6
1 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 6
0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 6
1 1 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 1 6
6
17 2 115
13 8 101
16 8 113
4 9 202
19 13 101
5 16 801


