8
101 10 5 1 40
102 80 40 1 120
103 300 150 1 300
104 800 400 1 999
105 2 1 2 100
106 2 1 2 300
107 20 10 6 0
108 20 10 7 0

13
201 1 50 25 10 95
202 1 250 125 20 95
203 1 800 400 40 90
221 2 300 150 20 90
222 2 800 400 35 90
233 3 80 40 20 90
234 3 400 200 28 90
235 3 200 100 50 85
245 4 100 50 20 90
246 4 500 250 40 90
256 5 150 75 8 85
257 5 180 90 25 80
278 7 1 1 15 90

6
301 1 50 25 2 0
302 1 300 150 8 0
303 1 500 250 10 0
336 4 50 25 5 0
337 4 750 375 12 0
352 6 1  1  8 0

1
801 200

2
901 3000
902 5000

