34
101 1  45  49 90 5 0 2 100
102 1 108 119 90 5 0 6 200
103 1 225 248 90 5 1 20 400
104 1 451 499 85 5 1 42 800
105 1  36  39 90 4 1 4 100
106 1  90  99 90 3 1 15 200
107 1 199 219 80 4 1 30 400
108 1 405 448 80 4 2 60 800
109 1 396 439 99 8 0 24 600
110 1  72  79 95 0 4 18 200
111 1 144 159 95 0 6 45 400
112 1 307 339 95 0 8 80 800
113 1 300 350 99 5 1 22 500
114 1 300 350 99 1 0 22 500
115 1 300 350 99 0 2 26 500
116 1 300 350 99 4 4 24 500
117 1 899 999 50 3 0 30 30
118 1 721 799 95 5 3 76 500

301 3 1 1 50 4 2 8 30
302 3 1 1 50 4 2 8 50
303 3 1 1 50 4 2 10 50

201 2  63  69 100 4 0 3 100
202 2 126 137 100 4 1 10 100
203 2 235 258 100 5 2 20 100
204 2 454 499 100 5 3 40 100
205 2 732 796 100 5 3 52 100

401 4 1 1 100 4 2 5 50
402 4 1 1 100 4 2 5 50
403 4 1 1 100 4 2 8 50
404 4 1 1 100 4 2 5 3000
405 4 1 1 100 4 2 5 3000
406 4 1 1 100 3 1 20 500
407 4 1 1 100 5 3 28 500
408 4 1 1 100 5 3 46 500


